"","Cash Value","Store credit","","","","","","","","","","","","","","","","","","","","","","",""
"GAMEDEC","RM30","40","","","","","","","","","","","","","","","","","","","","","","",""
"GARFIELD LASAGNA PARTY","RM75","100","","","","","","","","","","","","","","","","","","","","","","",""
"GEAR CLUB UNLIMITED 2","RM60","80","","","","","","","","","","","","","","","","8000","","","","","","",""
"GEARS OF WAR RELOADED","RM65","90","","","","","","","","","","","","","","","","","","","","","","",""
"GHOST OF TSUSHIMA","RM95","130","","","","","","","","","","","","","","","","","","","","","","",""
"GHOST OF YOTEI","RM150","200","","","","","","","","","","","","","","","","13000","","","","","","",""
"GHOSTBUSTERS: SPIRITS UNLEASHED","RM30","40","","","","","","","","","","","","","","","","","","","","","","",""
"GHOSTRUNNER II","RM35","50","","","","","","","","","","","","","","","","","","","","","","",""
"GHOSTWIRE TOKYO","RM35","50","","","","","","","","","","","","","","","","8000","","","","","","",""
"GOAT SIMULATOR 3","RM45","60","","","","","","","","","","","","","","","","7000","","","","","","",""
"GODFALL STANDARD EDITION","RM30","40","","","","","","","","","","","","","","","","8000","","","","","","",""
"GOD OF ROCK","RM60","80","","","","","","","","","","","","","","","","","","","","","","",""
"GOD OF WAR RAGNAROK","RM60","80","","","","","","","","","","","","","","","","5000","","","","","","",""
"GOTHAM KNIGHT STANDARD EDITION","RM30","40","","","","","","","","","","","","","","","","7000","","","","","","",""
"GRAN TURISMO 7","RM100","135","","","","","","","","","","","","","","","","","","","","","","",""
"GRANBLUE FANTASY RELINK","RM40","55","","","","","","","","","","","","","","","","","","","","","","",""
"GRAND THEFT AUTO V","RM25","35","","","","","","","","","","","","","","","","","","","","","","",""
"GREAK : MEMORIES OF AZUR","RM10","","","","","","","","","","","","","","","","","","","","","","","",""
"GRID LEGENDS","RM45","60","","","","","","","","","","","","","","","","","","","","","","",""
"GUILTY GEAR STRIVE","RM30","40","","","","","","","","","","","","","","","","","","","","","","",""
"GUNDAM BREAKER 4","RM30","40","","","","","","","","","","","","","","","","","","","","","","",""
"GUNGRAVE G.O.R.E.","RM40","55","","","","","","","","","","","","","","","","","","","","","","",""
"HADES","RM35","50","","","","","","","","","","","","","","","","","","","","","","",""
"HARRY POTTER : QUIDDITCH CHAMPIONS","RM40","55","","","","","","","","","","","","","","","","","","","","","","",""
"HARVEST MOON A WONDERFUL LIFE - CHI","RM30","40","","","","","","","","","","","","","","","","","","","","","","",""
"HARVEST MOON THE WINDS OF ANTHOS","RM60","80","","","","","","","","","","","","","","","","","","","","","","",""
"HEAVY DUTY CHALLENGE","RM15","20","","","","","","","","","","","","","","","","","","","","","","",""
"HELL IS US","RM70","95","","","","","","","","","","","","","","","","","","","","","","",""
"HELLDIVERS 2","RM50","70","","","","","","","","","","","","","","","","","","","","","","",""
"HELLO KITTY ISLAND ADVENTURE","RM55","75","","","","","","","","","","","","","","","","","","","","","","",""
"HELLO NEIGHBOR 2","RM20","30","","","","","","","","","","","","","","","","","","","","","","",""
"HIGH ON LIFE GOTY","RM30","40","","","","","","","","","","","","","","","","","","","","","","",""
"HITMAN 3","RM40","55","","","","","","","","","","","","","","","","","","","","","","",""
"HITMAN: WORLD OF ASSASSINATION","RM60","80","","","","","","","","","","","","","","","","","","","","","","",""
"HOA","RM25","35","","","","","","","","","","","","","","","","","","","","","","",""
"HOGWARTS LEGACY","RM60","80","","","","","","","","","","","","","","","","","","","","","","",""
"HOMEBODY","RM15","20","","","","","","","","","","","","","","","","","","","","","","",""
"HORIZON FORBIDDEN WEST","RM50","70","","","","","","","","","","","","","","","","","","","","","","",""
"HORIZON FORBIDDEN WEST COMPLETE EDITION","RM85","115","","","","","","","","","","","","","","","","","","","","","","",""
"HORIZON ZERO DAWN REMASTERED","RM85","115","","","","","","","","","","","","","","","","","","","","","","",""
"HOT WHEELS UNLEASHED","RM50","70","","","","","","","","","","","","","","","","","","","","","","",""
"HOT WHEELS UNLEASHED 2: TURBOCHARGED","RM85","115","","","","","","","","","","","","","","","","","","","","","","",""
"HUMAN : FALL FLAT ANNIVERSARY","RM45","60","","","","","","","","","","","","","","","","","","","","","","",""
"HUNTING SIMULATOR 2","RM60","80","","","","","","","","","","","","","","","","","","","","","","",""
"IKAI","RM55","75","","","","","","","","","","","","","","","","","","","","","","",""
"IMMORTAL FENYX RISING","RM15","20","","","","","","","","","","","","","","","","","","","","","","",""
"IMMORTALS OF AVEUM","RM15","20","","","","","","","","","","","","","","","","","","","","","","",""
"IN NIGHTMARE","RM20","","","","","","","","","","","","","","","","","","","","","","","",""
"IN SOUND MIND ","RM15","20","","","","","","","","","","","","","","","","","","","","","","",""
"INDIANA JONES AND THE GREAT CIRCLE","RM80","110","","","","","","","","","","","","","","","","","","","","","","",""
"INERTIAL DRIFT TWILIGHT","RM40","55","","","","","","","","","","","","","","","","","","","","","","",""
"INFINITY STRASH DRAGON QUEST THE ADVENTURE OF DAI","RM30","40","","","","","","","","","","","","","","","","","","","","","","",""
"INSTANT SPORTS PLUS","RM70","95","","","","","","","","","","","","","","","","","","","","","","",""
"IRON HARVEST COMPLETE","RM25","35","","","","","","","","","","","","","","","","","","","","","","",""
"JACK HOLMES : MASTER OF PUPETS","RM15","20","","","","","","","","","","","","","","","","","","","","","","",""
"JOJO'S BIZARRE ADVENTURE : ALL STAR BATTLE R","RM40","55","","","","","","","","","","","","","","","","","","","","","","",""
"JUDGEMENT","RM30","40","","","","","","","","","","","","","","","","","","","","","","",""
"JUDGEMENT: JUDGE EYES REMASTERED","RM25","35","","","","","","","","","","","","","","","","","","","","","","",""
"JUJUTSU KAISEN CURSED CLASH","RM75","100","","","","","","","","","","","","","","","","","","","","","","",""
"JUMANJI THE VIDEO GAME","RM15","20","","","","","","","","","","","","","","","","","","","","","","",""
"JURASSIC WORLD EVOLUTION 2","RM50","70","","","","","","","","","","","","","","","","","","","","","","",""
"JUST DANCE 2021","RM5","","","","","","","","","","","","","","","","","","","","","","","",""
"JUST DANCE 2022","RM10","","","","","","","","","","","","","","","","","","","","","","","",""
"JUST DANCE 2023","RM25","35","","","","","","","","","","","","","","","","","","","","","","",""
"JUST DANCE 2024","RM40","55","","","","","","","","","","","","","","","","","","","","","","",""
"KENA BRIDGE OF SPIRIT","RM25","35","","","","","","","","","","","","","","","","","","","","","","",""
"KEYWE","RM30","40","","","","","","","","","","","","","","","","","","","","","","",""
"KINGDOM COME: DELIVERANCE II","RM100","135","","","","","","","","","","","","","","","","","","","","","","",""
"KITARIA","RM35","50","","","","","","","","","","","","","","","","","","","","","","",""
"KLONOA PHANTASY REVERIE SERIES","RM15","20","","","","","","","","","","","","","","","","","","","","","","",""
"KOF XV","RM50","70","","","","","","","","","","","","","","","","","","","","","","",""
"LAKE","RM35","50","","","","","","","","","","","","","","","","","","","","","","",""
"LAWN MOWING SIMULATOR","RM20","30","","","","","","","","","","","","","","","","","","","","","","",""
"LEGO 2K DRIVE","RM80","110","","","","","","","","","","","","","","","","","","","","","","",""
"LEGO BATMAN: LEGACY OF THE DARK KNIGHT","RM180","210","","","","","","","","","","","","","","","","","","","","","","",""
"LEGO BRAWLS","RM45","60","","","","","","","","","","","","","","","","","","","","","","",""
"LEGO HARRY POTTER COLLECTION","RM35","50","","","","","","","","","","","","","","","","","","","","","","",""
"LEGO HORIZON ADVENTURES","RM90","120","","","","","","","","","","","","","","","","","","","","","","",""
"LEGO STAR WARS THE SKYWALKER SAGA","RM30","40","","","","","","","","","","","","","","","","","","","","","","",""
"LIES OF P","RM80","110","","","","","","","","","","","","","","","","","","","","","","",""
"LIFE IS STRANGE : TRUE COLORS","RM45","60","","","","","","","","","","","","","","","","","","","","","","",""
"LIFE IS STRANGE: REUNION","RM85","115","","","","","","","","","","","","","","","","","","","","","","",""
"LIKE A DRAGON : ISHIN!","RM30","40","","","","","","","","","","","","","","","","","","","","","","",""
"LIKE A DRAGON GAIDEN : THE MAN WHO ERASED HIS NAME","RM30","40","","","","","","","","","","","","","","","","","","","","","","",""
"LIKE A DRAGON: INFINITE WEALTH","RM45","60","","","","","","","","","","","","","","","","","","","","","","",""
"LIKE A DRAGON: PIRATE YAKUZA IN HAWAII","RM70","95","","","","","","","","","","","","","","","","","","","","","","",""
"LITTLE LEAGUE WORLD SERIES BASEBALL","RM20","","","","","","","","","","","","","","","","","","","","","","","",""
"LITTLE NIGHTMARE II","RM30","40","","","","","","","","","","","","","","","","","","","","","","",""
"LITTLE NIGHTMARE III","RM40","55","","","","","","","","","","","","","","","","","","","","","","",""
"LORDS OF THE FALLEN","RM55","75","","","","","","","","","","","","","","","","","","","","","","",""
"LOST JUDGMENT","RM35","50","","","","","","","","","","","","","","","","","","","","","","",""
